genre,title,year,rating
Comedy,Ghost Graduation ,2012,5.0
Action|Fantasy|Horror|Romance,"Chinese Ghost Story, A (Sinnui yauwan) ",1987,4.25
Animation|Sci-Fi,Ghost in the Shell (Kôkaku kidôtai) ,1995,4.15
Crime|Drama,Ghost Dog: The Way of the Samurai ,1999,4.05
Drama|Fantasy|Romance,"Ghost and Mrs. Muir, The ",1947,3.93
Drama|Mystery|Thriller,"Ghost Writer, The ",2010,3.79
Action|Comedy|Sci-Fi,Ghostbusters (a.k.a. Ghost Busters) ,1984,3.77
Action|Animation|Sci-Fi,Ghost in the Shell 2.0 ,2008,3.75
Action|Drama|Sci-Fi,Ghost in the Shell ,2017,3.75
Children|Comedy,Blackbeard's Ghost ,1968,3.67
Action|Adventure|Thriller|IMAX,Mission: Impossible - Ghost Protocol ,2011,3.66
Comedy|Drama,Ghost World ,2001,3.5
Action|Animation|Crime|Sci-Fi|Thriller,Ghost in the Shell: Solid State Society ,2006,3.5
Action|Adventure,"Ghost and the Darkness, The ",1996,3.48
Action|Animation|Crime|Sci-Fi,Ghost in the Shell: Stand Alone Complex - The Laughing Man ,2005,3.25
Drama|Horror,Ghost Story ,1981,3.0
Horror,Ghost Ship ,2002,2.5
Action|Animation|Sci-Fi,Ghost in the Shell Arise - Border 1: Ghost Pain ,2013,2.5
Action|Animation|Sci-Fi|Thriller,Ghost in the Shell Arise - Border 2: Ghost Whispers ,2013,2.5
Action|Fantasy|Thriller,Ghost Rider ,2007,2.25
Action|Animation|Drama|Sci-Fi|Thriller,Ghost in the Shell 2: Innocence (a.k.a. Innocence) (Inosensu) ,2004,2.17
Comedy|Fantasy|Romance,Ghost Town ,2008,2.0
Action|Fantasy|Thriller,Ghost Rider: Spirit of Vengeance ,2012,1.6
Comedy|Fantasy,Ghost Dad ,1990,1.5
